Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille ;libelle sous famille;collection;modele;matiere;couleur;divers;photo;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;45D;0;9001097350185;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;47;0;9001097350192;;20.00;20.00;1;20
CINEX;COOL;001097350;1;SLAP COOL;4;CHAUSSURES;0;CHAUSSURE HOMME;2;SLAP H;E17;BREAK;;BLACK;;;48;0;9001097350208;;20.00;20.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;18;0;9001097356019;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;19;0;9001097356026;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;20;0;9001097356033;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;21;0;9001097356040;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;22;0;9001097356057;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;23;0;9001097356064;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;24;0;9001097356071;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;25;1;9001097356088;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;26;0;9001097356095;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;27;0;9001097356101;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;28;0;9001097356118;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;29;0;9001097356125;;15.00;15.00;1;20
CINEX;COOL;001097356;1;SLAP COOL;4;CHAUSSURES;2;CHAUSSURE JUNIOR;2;SLAPS BOYS;E17;DONOVAN;;CS;;;30;0;9001097356132;;15.00;15.00;1;20
