Code fournisseur;libelle fournisseur;num article interne;type web;libelle article;code groupe;libelle groupe;code famille;libelle famille;code sous famille;libelle sous famille;collection;modele;matiere;couleur;divers;photo;matiere interne;couleur interne;divers interne;ligne produit;libelle taille;quantite;gencod interne;gencod fournisseur;pvttc;pvpromo;code tva;taux tva;date creation;date modification;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;S/M;0;9005044826082;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;M;1;9005044826099;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;M/L;0;9005044826105;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;L;1;9005044826112;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;L/XL;0;9005044826129;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;XL;0;9005044826136;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;XXL;0;9005044826143;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;XXL/;0;9005044826150;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044826;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;MATISSE;;CREME;;;;;;;XXXL;0;9005044826167;;49.99;49.99;1;20;20230130;20230218
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;XXXS;0;9005044927024;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;XXS;0;9005044927031;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;XXS/;0;9005044927048;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;XS;0;9005044927055;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;XS/S;0;9005044927062;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;S;1;9005044927079;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;S/M;0;9005044927086;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;M;1;9005044927093;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;M/L;0;9005044927109;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;L;1;9005044927116;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;L/XL;0;9005044927123;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;XL;0;9005044927130;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;XXL;0;9005044927147;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;XXL/;0;9005044927154;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044927;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;MARINE;;;;;;;XXXL;0;9005044927161;;49.99;49.99;1;20;20230203;20230217
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;XXXS;0;9005044254021;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;XXS;0;9005044254038;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;XXS/;0;9005044254045;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;XS;0;9005044254052;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;XS/S;0;9005044254069;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;S;1;9005044254076;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;S/M;0;9005044254083;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;M;0;9005044254090;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;M/L;0;9005044254106;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;L;1;9005044254113;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;L/XL;0;9005044254120;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;XL;0;9005044254137;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;XXL;0;9005044254144;;49.99;49.99;1;20;20230117;20230218
BANDIT;banditas;005044254;1;;2;FEMME;4;PANTALONS FEMME;8;PANTALON FEMME;E23;NADINE;RAYÉ;NOIR;;;;;;;XXL/;0;9005044254151;;49.99;49.99;1;20;20230117;20230218
